Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),General:Heating:Electricity [J](Monthly),General:Heating:NaturalGas [J](Monthly),General:Fans:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),NaturalGas:Facility [J](Monthly) ,,
January,2055567509,3454379868,66932797.7,8103140741,1034535505,73786357.54,3996082.288,6973630403,5509947377,8103140741,,1530.542162
February,1856641621,3075753487,13020726.66,8805772425,934419165.4,15033682.22,3474854.163,6147622038,4932395109,8805772425,,1370.110848
March,2055567509,3339856686,18390402.93,6379041764,1034535505,159661219,3648596.871,6870528902,5395424195,6379041764,,1498.730142
April,1989258880,3328171074,14766723.72,5678365184,1001163392,270085034.9,3822339.58,6882114063,5317429954,5678365184,,1477.065058
May,2055567509,3454379868,864843.4008,1315373222,1034535505,1209448650,3996082.288,8043228156,5509947377,1315373222,,1530.542162
June,1989258880,3213647892,458178.7358,88016926.08,1001163392,3069944560,3474854.163,9527228156,5202906772,88016926.08,,1445.253037
July,2055567509,3454379868,0,13502504.07,1034535505,3776680054,3996082.288,10609595994,5509947377,13502504.07,,1530.542162
August,2055567509,3397118277,0,14905608.25,1034535505,3707870654,3822339.58,10473763871,5452685786,14905608.25,,1514.636152
September,1989258880,3270909483,537642.8605,187499365.5,1001163392,2180623615,3648596.871,8705008806,5260168363,187499365.5,,1461.159048
October,2055567509,3454379868,991178.1654,2912055174,1034535505,402915829.1,3996082.288,7240014377,5509947377,2912055174,,1530.542162
November,1989258880,3270909483,10249922.59,4774108791,1001163392,194614937.6,3648596.871,6731908244,5260168363,4774108791,,1461.159048
December,2055567509,3397118277,105310410.4,9279466541,1034535505,96442703.95,3822339.58,6964447188,5452685786,9279466541,,1514.636152